2026-04-05 10:35:25,765 | ERROR | __main__ | Database connection error: unable to open database file
2026-04-05 10:42:25,148 | INFO | __main__ | Connected to database: D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 11:13:03,904 | INFO | src.database.db_connection | Connected to database: D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 11:13:09,885 | INFO | __main__ | Database schema executed successfully
2026-04-05 11:14:50,497 | INFO | src.database.db_connection | Connected to database: D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 15:57:47,489 | INFO | src.database.db_connection | Connected to database: D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 15:57:47,492 | INFO | __main__ | Database schema executed successfully
2026-04-05 15:57:47,493 | INFO | src.database.db_connection | Connected to database: D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 15:57:50,036 | INFO | __main__ | Loaded 10 rows into sectors
2026-04-05 15:57:50,831 | INFO | __main__ | Loaded 30 rows into securities
2026-04-05 15:57:51,074 | INFO | __main__ | Loaded 13 rows into benchmarks
2026-04-05 15:57:51,259 | INFO | __main__ | Loaded 13 rows into portfolios
2026-04-05 15:57:51,696 | INFO | __main__ | Loaded 95 rows into holdings
2026-04-05 15:57:52,003 | INFO | __main__ | Loaded 24 rows into transactions
2026-04-05 15:57:52,310 | INFO | __main__ | Loaded 330 rows into historical_prices
2026-04-05 15:57:52,550 | INFO | __main__ | Loaded 44 rows into portfolio_performance
2026-04-05 15:57:52,779 | INFO | __main__ | Loaded 44 rows into risk_metrics
2026-04-05 15:57:52,780 | INFO | __main__ | All CSV data loaded successfully
2026-04-05 19:25:14,431 | INFO | src.agent.langgraph_workflow | Running LLM node
2026-04-05 19:25:14,686 | INFO | src.tools.exposure_tool | Calculating sector exposure for identifier=international equity
2026-04-05 19:25:14,687 | INFO | src.database.db_connection | Connecting to database at D:\Pl_Capitals_Assignment\portfolio-analytics-agent\data\db\portfolio_database.db
2026-04-05 19:25:15,050 | INFO | src.database.db_connection | Database connected
2026-04-05 19:25:15,050 | INFO | src.database.db_connection | Dialect: sqlite
2026-04-05 19:25:15,051 | INFO | src.database.db_connection | Available tables: ['benchmarks', 'historical_prices', 'holdings', 'portfolio_performance', 'portfolios', 'risk_metrics', 'sectors', 'securities', 'transactions']
2026-04-05 19:25:15,053 | INFO | src.tools.exposure_tool | Resolved portfolio 'international equity' to id 7
2026-04-05 19:25:15,054 | INFO | src.tools.exposure_tool | Exposure query executed successfully
2026-04-05 19:25:15,054 | INFO | src.tools.exposure_tool | Raw result: [('Energy', 0.38), ('Technology', 0.36), ('Automotive', 0.15), ('Consumer Staples', 0.11)]
2026-04-05 19:25:15,056 | INFO | src.agent.langgraph_workflow | Running LLM node
2026-04-05 19:26:07,548 | INFO | src.agent.langgraph_workflow | Running LLM node
2026-04-05 19:26:09,254 | INFO | src.tools.sql_query_tool | User Question: SELECT portfolio_id, SUM(CASE WHEN sector = 'Technology' THEN value ELSE 0 END) AS tech_value, SUM(value) AS total_value, (SUM(CASE WHEN sector = 'Technology' THEN value ELSE 0 END) / SUM(value)) * 100 AS tech_percentage FROM holdings GROUP BY portfolio_id
